Amparo Escandón, María
Ampe, Francis
Ampe, Jean-Paul (1952-....)
Amprimoz, François-Xavier  Préfacier
Amram, Michel
Amrani-Mekki, Soraya (1973-....)
Amri, Liliane (1939-....)
Amri, Nelly (1953-....)
Amri, Walid
Amrouche, Jean (1906-1962)
Amrouche, Pierre
Amsallem, Claude (1941-....)
Amsallem, Daniela (1953-....)
Amsellem, Guy  Directeur
Amsellem-Ouazana, Delphine  Collaborateur
Amsler, Francis
Amsler, Jean  Traducteur
Amson, Daniel
Amutio, Robert  Traducteur
Amy, Noëlle  Traducteur
Amyot, Jacques (1513-1593)  Traducteur
Amyot, Jean-Jacques (1956-....)
Amyot, Jean-Jacques (1956-....)  Rédacteur
An Noalleg, Yann-Baol
Anache, Marianne  Directeur
Anache, Marianne  Rédacteur
Analis, Dimitris T.
Anantananda (svami ; 1940-....)
Anas, Jacques  Rédacteur
Anasse, Michel (1935-....)
Anastassiadi, Marie-Christine  Traducteur
Anatrella, Tony (1941-....)
Anatrella, Tony (1941-....)  Collaborateur
Anceau, Éric
Anceau, François$d1940-....
Ancel, Marie-Élodie
Ancel, Pascal
Ancelet, Frédéric
Ancelle, Thierry
Ancelle-Park, Rosemary  Editeur scientifique
Ancet, Jacques (1942-....)
Ancet, Jacques (1942-....)  Traducteur
Ancet, Lucienne  Traducteur
Ancion, Odette
Andaç, Münevver (1917-....)  Traducteur
Anders, Günther (1902-1992)
Anders, Paul (1974-....)
Andersen Bo, Patrick
Andersen, Hans Christian (1805-1875)
Andersen, Hans Christian (1805-1875)  Auteur adapté
Andersen, Kurt
Andersen, Peter HvilshØj  Editeur scientifique
Andersen, Susan
Andersen, Ulf (19..-.... ; auteur de livres de cuisine)
Anderson, Benedict (1936-....)
Anderson, Brent Eric  Illustrateur
Anderson, Caroline
Anderson, Catherine
Anderson, Kevin J.
Anderson, Neil T. (1942-....)
Anderson, Paul (1965-....)  Auteur adapté
Anderson-Dargatz, Gail (1963-....)
Andersson, Jean (1941-....)
Andigné-Morand, Anne d' (1943-....)
